epoch,train_loss,val_loss
1,0.016765,0.003174
2,0.002709,0.000854
3,0.001573,0.000940
4,0.001329,0.000840
5,0.001152,0.001024
6,0.001316,0.000542
7,0.001147,0.000634
8,0.001001,0.000775
9,0.000950,0.000743
10,0.001004,0.000743
11,0.001316,0.000789
12,0.001099,0.000671
13,0.001050,0.000556
14,0.001243,0.000767
15,0.000872,0.000859
16,0.001079,0.000624
17,0.001027,0.000983
18,0.001108,0.000826
19,0.001237,0.000523
20,0.001168,0.000697
